# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20220125,2 904,2 272,"1,09",00:03:10,"45,31 %","5,21",693,"5 584,25 $"
20221130,2 902,2 017,"1,14",00:03:49,"42,36 %","5,22",807,"15 199,45 $"
20201216,2 899,2 203,"1,12",00:03:34,"45,69 %","6,06",811,"8 415,43 $"
20220509,2 899,2 196,"1,14",00:03:09,"46,37 %","4,85",721,"12 776,69 $"
20220809,2 899,2 077,"1,11",00:03:31,"38,68 %","5,74",897,"12 646,32 $"
20220210,2 897,2 173,"1,12",00:03:13,"48,32 %","4,36",609,"6 912,00 $"
20210419,2 892,2 416,"1,07",00:02:28,"57,61 %","4,17",539,"4 177,97 $"
20221121,2 887,1 996,"1,11",00:03:24,"42,28 %","5,06",753,"13 473,04 $"
20201203,2 885,2 222,"1,13",00:03:41,"42,38 %","5,34",497,"254,90 $"
20221110,2 885,2 020,"1,11",00:03:25,"41,97 %","5,06",725,"7 776,57 $"
20220127,2 882,2 274,"1,10",00:03:05,"46,64 %","4,64",625,"4 592,65 $"
20211111,2 881,2 107,"1,11",00:03:26,"44,74 %","5,10",796,"11 042,58 $"
20220621,2 880,2 162,"1,11",00:03:17,"46,04 %","4,95",798,"13 561,97 $"
20230421,2 879,2 376,"1,08",00:02:37,"48,18 %","3,79",420,"7 158,84 $"
20220504,2 878,2 174,"1,12",00:03:28,"46,14 %","4,78",695,"13 921,77 $"
20210420,2 877,2 361,"1,08",00:02:32,"58,29 %","3,82",484,"7 036,58 $"
20220414,2 876,2 151,"1,11",00:03:23,"45,34 %","5,13",727,"8 178,60 $"
20220623,2 876,2 100,"1,12",00:03:18,"43,08 %","5,05",747,"5 576,77 $"
20220614,2 873,2 116,"1,11",00:03:39,"43,64 %","5,51",871,"0,00 $"
20230424,2 869,2 242,"1,09",00:02:49,"49,92 %","3,80",391,"5 657,30 $"
20220721,2 867,2 138,"1,12",00:03:45,"40,37 %","5,38",850,"8 768,16 $"
20220503,2 866,2 187,"1,13",00:03:15,"45,05 %","4,82",707,"9 164,88 $"
20220531,2 865,2 157,"1,11",00:03:04,"45,96 %","4,77",698,"12 468,84 $"
20220602,2 865,2 175,"1,11",00:03:01,"45,16 %","4,91",721,"8 778,14 $"
20221025,2 862,2 112,"1,12",00:03:20,"43,79 %","4,71",720,"5 150,35 $"
20221202,2 859,2 023,"1,12",00:03:24,"43,10 %","5,10",823,"9 950,88 $"
20211025,2 858,2 087,"1,11",00:03:14,"45,28 %","5,20",767,"7 592,64 $"
20220323,2 848,2 171,"1,13",00:03:30,"46,34 %","4,61",675,"8 225,73 $"
20220622,2 845,2 110,"1,12",00:03:28,"42,99 %","5,37",814,"12 846,44 $"
20230502,2 845,2 150,"1,13",00:03:06,"46,56 %","4,02",590,"7 946,44 $"
20220202,2 844,2 262,"1,10",00:03:06,"47,58 %","4,66",617,"4 778,57 $"
20220613,2 842,2 073,"1,12",00:03:38,"45,39 %","5,75",921,"10 859,16 $"
20201201,2 840,2 152,"1,13",00:03:38,"43,50 %","5,32",467,"310,20 $"
20200807,2 839,1 921,"1,21",00:05:14,"30,27 %","8,34",852,"270,40 $"
20211123,2 839,2 007,"1,13",00:04:04,"44,50 %","6,28",921,"23 593,69 $"
20220920,2 838,2 140,"1,10",00:03:23,"43,43 %","5,05",693,"6 818,03 $"
20210429,2 832,2 301,"1,10",00:02:54,"56,56 %","4,55",589,"5 077,08 $"
20221011,2 832,2 086,"1,13",00:03:37,"40,79 %","4,86",707,"8 492,36 $"
20220628,2 831,2 107,"1,13",00:03:28,"44,01 %","5,35",813,"19 761,14 $"
20220418,2 829,2 103,"1,11",00:03:14,"46,58 %","4,96",683,"9 073,15 $"
20220309,2 824,2 139,"1,14",00:03:17,"46,31 %","4,35",654,"6 696,46 $"
20220518,2 824,2 103,"1,14",00:03:06,"46,48 %","4,60",663,"10 906,69 $"
20220120,2 821,2 219,"1,11",00:03:12,"48,46 %","4,88",647,"5 679,16 $"
20201204,2 820,2 178,"1,11",00:03:37,"46,20 %","5,73",490,"188,20 $"
20220810,2 820,1 992,"1,12",00:03:36,"39,12 %","5,85",967,"12 706,33 $"
20210929,2 817,2 110,"1,11",00:03:21,"43,25 %","5,13",728,"8 164,34 $"
20221020,2 815,2 010,"1,10",00:03:21,"41,70 %","5,26",738,"7 367,24 $"
20211110,2 811,2 014,"1,12",00:03:32,"45,21 %","5,28",757,"15 447,28 $"
20221004,2 809,2 108,"1,10",00:03:24,"43,68 %","5,01",708,"9 281,90 $"
20221026,2 802,2 028,"1,12",00:03:41,"43,09 %","4,91",695,"5 538,72 $"
20200706,2 800,2 338,"1,12",00:02:54,"46,40 %","4,63",449,"778,25 $"
20210915,2 799,2 233,"1,11",00:02:58,"48,46 %","4,74",592,"6 314,30 $"
20220728,2 791,1 954,"1,12",00:03:28,"40,12 %","5,32",764,"10 857,96 $"
20221018,2 791,2 025,"1,12",00:03:55,"39,78 %","5,47",759,"6 870,86 $"
20201028,2 790,2 200,"1,10",00:03:03,"47,86 %","4,58",374,"49,80 $"
20230414,2 790,2 277,"1,09",00:02:33,"51,10 %","3,63",368,"8 130,23 $"
20200708,2 789,2 178,"1,11",00:03:42,"41,90 %","5,10",468,"193,50 $"
20220215,2 789,2 135,"1,10",00:03:21,"47,16 %","4,89",697,"10 018,68 $"
20211027,2 787,2 093,"1,11",00:03:34,"44,32 %","4,92",693,"6 181,45 $"
20220706,2 785,2 065,"1,11",00:03:11,"47,30 %","4,94",711,"11 301,98 $"
20211115,2 784,2 008,"1,13",00:03:41,"44,67 %","5,04",731,"9 968,65 $"
20210310,2 782,2 243,"1,08",00:02:44,"51,41 %","4,07",505,"93,08 $"
20201027,2 780,2 152,"1,11",00:02:41,"48,91 %","4,30",331,"234,30 $"
20210426,2 780,2 266,"1,08",00:02:39,"56,95 %","3,81",466,"2 900,01 $"
20220627,2 780,2 020,"1,11",00:03:24,"43,87 %","5,25",718,"14 943,00 $"
20220823,2 779,2 006,"1,13",00:03:43,"39,44 %","5,36",836,"17 019,57 $"
20210203,2 777,2 257,"1,10",00:02:49,"50,92 %","4,02",503,"86,72 $"
20220818,2 776,2 001,"1,10",00:03:24,"43,26 %","5,23",760,"17 493,79 $"
20211028,2 772,2 059,"1,10",00:03:21,"46,07 %","5,19",761,"12 438,99 $"
